Rk,Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Player Link_,Player ID_,Competition,Playing Time_90s
11,Alaa Bellaarouch,MAR,GK,Strasbourg,fr Ligue 1,22-120,2002,12,12,1080,12.0,1.67,1.67,4.08,2.42,63.3,0.25,0.17,0.58,0.17,16.7,0.25,0.17,0.08,0.0,33.3,https://fbref.com/en/players/0595569d/Alaa-Bellaarouch,0595569d,Big 5 combined,
12,Daniel Bentley,ENG,GK,Wolves,eng Premier League,30-292,1993,4,2,293,3.3,1.21,1.23,3.64,2.42,66.7,0.3,0.0,0.3,0.3,50.0,0.0,0.0,0.0,0.0,,https://fbref.com/en/players/68db6358/Daniel-Bentley,68db6358,Big 5 combined,
13,Etrit Berisha,ALB,GK,Empoli,it Serie A,35-051,1989,14,14,1260,14.0,1.79,1.79,5.29,3.5,68.9,0.21,0.21,0.57,0.29,28.6,0.21,0.14,0.07,0.0,33.3,https://fbref.com/en/players/ee833569/Etrit-Berisha,ee833569,Big 5 combined,
14,Dimitry Bertaud,COD,GK,Montpellier,fr Ligue 1,25-329,1998,1,1,90,1.0,6.0,6.0,9.0,3.0,33.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,https://fbref.com/en/players/380a15e2/Dimitry-Bertaud,380a15e2,Big 5 combined,
15,Marco Bizot,NED,GK,Brest,fr Ligue 1,33-051,1991,29,29,2606,29.0,1.14,1.14,4.28,3.1,75.0,0.48,0.28,0.24,0.38,37.9,0.1,0.07,0.03,0.0,33.3,https://fbref.com/en/players/3d214e5f/Marco-Bizot,3d214e5f,Big 5 combined,
16,Rubén Blanco,ESP,GK,Marseille,fr Ligue 1,28-280,1995,2,1,121,1.3,1.54,1.49,4.62,3.08,66.7,0.0,0.0,0.77,0.0,0.0,0.0,0.0,0.0,0.0,,https://fbref.com/en/players/967f34d3/Ruben-Blanco,967f34d3,Big 5 combined,
17,Janis Blaswich,GER,GK,RB Leipzig,de Bundesliga,32-364,1991,20,20,1800,20.0,1.4,1.4,3.5,2.1,64.3,0.5,0.15,0.35,0.25,25.0,0.15,0.15,0.0,0.0,0.0,https://fbref.com/en/players/663e080e/Janis-Blaswich,663e080e,Big 5 combined,
18,Yassine Bounou,MAR,GK,Sevilla,es La Liga,33-025,1991,1,1,90,1.0,2.0,2.0,3.0,1.0,33.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,https://fbref.com/en/players/f6798fc3/Yassine-Bounou,f6798fc3,Big 5 combined,
19,Claudio Bravo,CHI,GK,Betis,es La Liga,41-017,1983,7,7,630,7.0,0.71,0.71,2.86,2.29,75.0,0.43,0.57,0.0,0.29,28.6,0.0,0.0,0.0,0.0,,https://fbref.com/en/players/10072610/Claudio-Bravo,10072610,Big 5 combined,
20,Fabian Bredlow,GER,GK,Stuttgart,de Bundesliga,29-059,1995,4,4,360,4.0,0.75,0.75,5.5,4.75,86.4,0.75,0.25,0.0,0.25,25.0,0.0,0.0,0.0,0.0,,https://fbref.com/en/players/d28339cb/Fabian-Bredlow,d28339cb,Big 5 combined,
21,Alexander Brunst,GER,GK,Darmstadt 98,de Bundesliga,28-298,1995,1,1,90,1.0,1.0,1.0,3.0,2.0,66.7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,https://fbref.com/en/players/99219195/Alexander-Brunst,99219195,Big 5 combined,
22,Marcin Bułka,POL,GK,Nice,fr Ligue 1,24-209,1999,31,31,2790,31.0,0.81,0.81,3.06,2.19,78.9,0.45,0.29,0.26,0.52,51.6,0.26,0.16,0.1,0.0,37.5,https://fbref.com/en/players/db87a2c4/Marcin-Bulka,db87a2c4,Big 5 combined,
23,Elia Caprile,ITA,GK,Empoli,it Serie A,22-249,2001,19,19,1710,19.0,1.21,1.21,4.79,3.53,78.0,0.26,0.21,0.53,0.21,21.1,0.21,0.16,0.05,0.0,25.0,https://fbref.com/en/players/97d7afbd/Elia-Caprile,97d7afbd,Big 5 combined,
24,Marco Carnesecchi,ITA,GK,Atalanta,it Serie A,23-304,2000,23,23,2070,23.0,1.09,1.09,4.13,2.96,76.8,0.52,0.22,0.26,0.35,34.8,0.26,0.13,0.09,0.04,40.0,https://fbref.com/en/players/8ec56e62/Marco-Carnesecchi,8ec56e62,Big 5 combined,
25,Koen Casteels,BEL,GK,Wolfsburg,de Bundesliga,31-310,1992,22,22,1980,22.0,1.55,1.55,4.77,3.32,69.5,0.32,0.27,0.41,0.14,13.6,0.14,0.09,0.0,0.05,0.0,https://fbref.com/en/players/db401046/Koen-Casteels,db401046,Big 5 combined,
26,Michele Cerofolini,ITA,GK,Frosinone,it Serie A,25-117,1999,4,3,315,3.5,1.43,1.43,4.29,3.14,66.7,0.29,0.29,0.29,0.29,33.3,0.29,0.0,0.0,0.29,,https://fbref.com/en/players/efdeaff3/Michele-Cerofolini,efdeaff3,Big 5 combined,
27,Lucas Chevalier,FRA,GK,Lille,fr Ligue 1,22-176,2001,31,31,2790,31.0,0.87,0.87,3.61,2.74,78.6,0.48,0.32,0.19,0.48,48.4,0.16,0.1,0.06,0.0,40.0,https://fbref.com/en/players/b3d76d84/Lucas-Chevalier,b3d76d84,Big 5 combined,
28,Oliver Christensen,DEN,GK,Fiorentina,it Serie A,25-039,1999,3,3,270,3.0,2.33,2.33,5.0,2.67,60.0,0.33,0.33,0.33,0.0,0.0,0.33,0.33,0.0,0.0,0.0,https://fbref.com/en/players/af104654/Oliver-Christensen,af104654,Big 5 combined,
29,Andrea Consigli,ITA,GK,Sassuolo,it Serie A,37-094,1987,32,32,2880,32.0,2.0,2.0,4.81,2.84,62.3,0.16,0.25,0.59,0.06,6.3,0.28,0.19,0.03,0.06,14.3,https://fbref.com/en/players/8cabdc1e/Andrea-Consigli,8cabdc1e,Big 5 combined,
30,Nikita Contini Baranovsky,ITA,GK,Napoli,it Serie A,27-345,1996,1,0,17,0.2,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,5.0,,0.0,0.0,0.0,0.0,,https://fbref.com/en/players/e95069bb/Nikita-Contini-Baranovsky,e95069bb,Big 5 combined,
31,Benoît Costil,FRA,GK,Salernitana,it Serie A,36-302,1987,13,13,1170,13.0,2.23,2.23,5.08,2.92,60.6,0.15,0.23,0.62,0.08,7.7,0.23,0.23,0.0,0.0,0.0,https://fbref.com/en/players/2434f24a/Benoit-Costil,2434f24a,Big 5 combined,
32,Grégoire Coudert,FRA,GK,Brest,fr Ligue 1,25-027,1999,3,2,181,2.0,0.0,0.0,2.0,2.0,100.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,,https://fbref.com/en/players/ca95200f/Gregoire-Coudert,ca95200f,Big 5 combined,
33,Alessio Cragno,ITA,GK,Sassuolo,it Serie A,29-307,1994,2,2,180,2.0,3.0,3.0,4.0,1.5,37.5,0.5,0.0,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.0,https://fbref.com/en/players/f554e29b/Alessio-Cragno,f554e29b,Big 5 combined,
34,Finn Dahmen,GER,GK,Augsburg,de Bundesliga,26-034,1998,31,31,2790,31.0,1.68,1.68,5.1,3.42,71.5,0.32,0.29,0.39,0.1,9.7,0.32,0.23,0.06,0.03,22.2,https://fbref.com/en/players/dee3013b/Finn-Dahmen,dee3013b,Big 5 combined,
35,Rémy Descamps,FRA,GK,Nantes,fr Ligue 1,27-310,1996,6,6,540,6.0,1.83,1.83,6.17,4.33,73.0,0.33,0.33,0.33,0.17,16.7,0.33,0.17,0.0,0.17,0.0,https://fbref.com/en/players/477e50ce/Remy-Descamps,477e50ce,Big 5 combined,
36,Arthur Desmas,FRA,GK,Le Havre,fr Ligue 1,30-023,1994,30,30,2700,30.0,1.3,1.3,4.6,3.33,72.5,0.2,0.37,0.43,0.23,23.3,0.1,0.03,0.03,0.03,50.0,https://fbref.com/en/players/e8c5dd4d/Arthur-Desmas,e8c5dd4d,Big 5 combined,
37,Michele Di Gregorio,ITA,GK,Monza,it Serie A,26-278,1997,31,31,2692,29.9,1.04,1.04,4.85,3.75,80.7,0.37,0.33,0.33,0.4,38.7,0.17,0.1,0.07,0.0,40.0,https://fbref.com/en/players/4e0c8d66/Michele-Di-Gregorio,4e0c8d66,Big 5 combined,
38,Mory Diaw,SEN,GK,Clermont Foot,fr Ligue 1,30-313,1993,27,27,2430,27.0,1.63,1.63,6.22,4.59,76.8,0.15,0.3,0.56,0.19,18.5,0.26,0.19,0.04,0.04,16.7,https://fbref.com/en/players/f41a69e6/Mory-Diaw,f41a69e6,Big 5 combined,
39,Guillaume Dietsch,FRA,GK,Metz,fr Ligue 1,23-013,2001,1,0,73,0.8,1.25,1.23,3.75,2.5,66.7,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,https://fbref.com/en/players/e11a39aa/Guillaume-Dietsch,e11a39aa,Big 5 combined,
40,Stole Dimitrievski,MKD,GK,Rayo Vallecano,es La Liga,30-127,1993,33,33,2970,33.0,1.27,1.27,4.12,2.88,69.9,0.21,0.39,0.39,0.36,36.4,0.06,0.03,0.03,0.0,50.0,https://fbref.com/en/players/fc70e345/Stole-Dimitrievski,fc70e345,Big 5 combined,
41,Yehvann Diouf,FRA,GK,Reims,fr Ligue 1,24-166,1999,31,31,2790,31.0,1.45,1.45,4.0,2.55,68.5,0.35,0.23,0.42,0.23,22.6,0.23,0.19,0.03,0.0,14.3,https://fbref.com/en/players/eedea60b/Yehvann-Diouf,eedea60b,Big 5 combined,
42,Marko Dmitrović,SRB,GK,Sevilla,es La Liga,32-097,1992,13,13,1170,13.0,1.92,1.92,5.23,3.38,66.2,0.15,0.15,0.69,0.15,15.4,0.15,0.15,0.0,0.0,0.0,https://fbref.com/en/players/ac295d9e/Marko-Dmitrovic,ac295d9e,Big 5 combined,
43,Gianluigi Donnarumma,ITA,GK,Paris S-G,fr Ligue 1,25-065,1999,25,25,2169,24.1,0.83,0.83,4.56,3.69,84.5,0.75,0.25,0.04,0.41,40.0,0.17,0.12,0.04,0.0,25.0,https://fbref.com/en/players/08f5afaa/Gianluigi-Donnarumma,08f5afaa,Big 5 combined,
44,Martin Dúbravka,SVK,GK,Newcastle Utd,eng Premier League,35-106,1989,20,19,1715,19.1,1.94,1.94,5.92,3.93,70.8,0.42,0.16,0.42,0.26,26.3,0.26,0.21,0.05,0.0,20.0,https://fbref.com/en/players/3a949a25/Martin-Dubravka,3a949a25,Big 5 combined,
45,Ederson,BRA,GK,Manchester City,eng Premier League,30-257,1993,30,30,2537,28.2,0.92,0.92,2.77,1.88,70.5,0.74,0.21,0.11,0.32,30.0,0.11,0.11,0.0,0.0,0.0,https://fbref.com/en/players/3bb7b8b4/Ederson,3bb7b8b4,Big 5 combined,
46,Aarón Escandell,ESP,GK,Las Palmas,es La Liga,28-216,1995,2,1,153,1.7,1.76,1.76,2.35,0.59,25.0,0.0,0.0,0.59,0.0,0.0,0.0,0.0,0.0,0.0,,https://fbref.com/en/players/67669ce7/Aaron-Escandell,67669ce7,Big 5 combined,
47,Łukasz Fabiański,POL,GK,West Ham,eng Premier League,39-012,1985,10,7,721,8.0,2.63,2.62,6.63,4.13,66.0,0.38,0.13,0.38,0.13,14.3,0.38,0.38,0.0,0.0,0.0,https://fbref.com/en/players/9328b835/Lukasz-Fabianski,9328b835,Big 5 combined,
48,Wladimiro Falcone,ITA,GK,Lecce,it Serie A,29-018,1995,34,34,3060,34.0,1.44,1.44,4.5,3.06,71.2,0.24,0.35,0.41,0.18,17.6,0.18,0.15,0.03,0.0,16.7,https://fbref.com/en/players/9f5a610b/Wladimiro-Falcone,9f5a610b,Big 5 combined,
49,Aitor Fernández,ESP,GK,Osasuna,es La Liga,32-363,1991,5,4,371,4.1,1.71,1.7,3.17,1.46,53.8,0.0,0.0,0.98,0.24,25.0,0.24,0.24,0.0,0.0,0.0,https://fbref.com/en/players/a01c3d54/Aitor-Fernandez,a01c3d54,Big 5 combined,
50,Raúl Fernández,ESP,GK,Granada,es La Liga,36-048,1988,4,4,280,3.1,3.55,3.54,5.48,2.26,35.3,0.32,0.0,0.97,0.0,0.0,0.32,0.0,0.0,0.32,,https://fbref.com/en/players/6fb59070/Raul-Fernandez,6fb59070,Big 5 combined,
51,Fernando,ESP,GK,Almería,es La Liga,33-325,1990,2,2,180,2.0,3.5,3.5,5.5,2.0,36.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,https://fbref.com/en/players/dabb2827/Fernando,dabb2827,Big 5 combined,
52,André Ferreira,POR,GK,Granada,es La Liga,27-337,1996,15,14,1340,14.9,1.95,1.95,5.17,3.29,66.2,0.0,0.34,0.6,0.0,0.0,0.2,0.2,0.0,0.0,0.0,https://fbref.com/en/players/12c6cbef/Andre-Ferreira,12c6cbef,Big 5 combined,
53,Mark Flekken,NED,GK,Brentford,eng Premier League,30-322,1993,34,34,3015,33.5,1.73,1.73,4.84,3.1,65.4,0.27,0.24,0.51,0.18,17.6,0.06,0.06,0.0,0.0,0.0,https://fbref.com/en/players/a92ab7be/Mark-Flekken,a92ab7be,Big 5 combined,
54,Wes Foderingham,ENG,GK,Sheffield Utd,eng Premier League,33-107,1991,27,26,2379,26.4,2.73,2.72,7.01,4.47,63.8,0.11,0.15,0.72,0.04,3.8,0.23,0.19,0.0,0.04,0.0,https://fbref.com/en/players/96cf7b61/Wes-Foderingham,96cf7b61,Big 5 combined,
55,Paulo Gazzaniga,ARG,GK,Girona,es La Liga,32-119,1992,33,33,2970,33.0,1.21,1.21,4.3,3.06,73.9,0.67,0.15,0.18,0.33,33.3,0.15,0.09,0.03,0.03,25.0,https://fbref.com/en/players/63d17038/Paulo-Gazzaniga,63d17038,Big 5 combined,
56,Luca Gemello,ITA,GK,Torino,it Serie A,23-302,2000,1,1,90,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,https://fbref.com/en/players/53e494ec/Luca-Gemello,53e494ec,Big 5 combined,
57,David Gil,ESP,GK,Cádiz,es La Liga,30-110,1994,4,3,282,3.1,0.65,0.64,3.87,3.23,83.3,0.0,0.97,0.0,0.32,33.3,0.0,0.0,0.0,0.0,,https://fbref.com/en/players/fea23125/David-Gil,fea23125,Big 5 combined,
58,Pierluigi Gollini,ITA,GK,Napoli,it Serie A,29-043,1995,7,7,630,7.0,1.14,1.14,3.43,2.29,66.7,0.43,0.14,0.43,0.14,14.3,0.0,0.0,0.0,0.0,,https://fbref.com/en/players/f0f7f62f/Pierluigi-Gollini,f0f7f62f,Big 5 combined,
59,Mathieu Gorgelin,FRA,GK,Le Havre,fr Ligue 1,33-269,1990,1,1,90,1.0,2.0,2.0,5.0,3.0,80.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,https://fbref.com/en/players/4d3e9033/Mathieu-Gorgelin,4d3e9033,Big 5 combined,
60,Jens Grahl,GER,GK,Eint Frankfurt,de Bundesliga,35-221,1988,2,2,180,2.0,1.0,1.0,4.5,3.5,77.8,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,https://fbref.com/en/players/f26dee6b/Jens-Grahl,f26dee6b,Big 5 combined,
61,Ivo Grbić,CRO,GK,Sheffield Utd,eng Premier League,28-103,1996,9,9,771,8.6,2.91,2.92,6.86,4.19,57.6,0.0,0.35,0.7,0.0,0.0,0.12,0.0,0.0,0.12,,https://fbref.com/en/players/3f034750/Ivo-Grbic,3f034750,Big 5 combined,
62,Dominik Greif,SVK,GK,Mallorca,es La Liga,27-024,1997,1,1,90,1.0,0.0,0.0,4.0,4.0,100.0,0.0,1.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,,https://fbref.com/en/players/30061f53/Dominik-Greif,30061f53,Big 5 combined,
63,Vicente Guaita,ESP,GK,Celta Vigo,es La Liga,37-111,1987,24,23,2133,23.7,1.48,1.48,4.47,3.08,70.8,0.25,0.3,0.42,0.25,26.1,0.17,0.17,0.0,0.0,0.0,https://fbref.com/en/players/ab13a5aa/Vicente-Guaita,ab13a5aa,Big 5 combined,
64,Péter Gulácsi,HUN,GK,RB Leipzig,de Bundesliga,33-360,1990,11,11,990,11.0,0.64,0.64,2.82,2.18,77.4,0.82,0.18,0.0,0.45,45.5,0.09,0.0,0.0,0.09,,https://fbref.com/en/players/bcb2ccd8/Peter-Gulacsi,bcb2ccd8,Big 5 combined,
65,Dean Henderson,ENG,GK,Crystal Palace,eng Premier League,27-049,1997,15,15,1350,15.0,1.93,1.93,4.93,3.07,62.2,0.33,0.27,0.4,0.13,13.3,0.07,0.07,0.0,0.0,0.0,https://fbref.com/en/players/e5a76dfe/Dean-Henderson,e5a76dfe,Big 5 combined,
66,Sergio Herrera,ESP,GK,Osasuna,es La Liga,30-330,1993,29,29,2599,28.9,1.45,1.45,4.15,2.66,65.0,0.38,0.21,0.42,0.31,31.0,0.03,0.0,0.03,0.0,100.0,https://fbref.com/en/players/a4995f48/Sergio-Herrera,a4995f48,Big 5 combined,
67,Lukáš Hrádecký,FIN,GK,Leverkusen,de Bundesliga,34-158,1989,30,30,2700,30.0,0.73,0.73,3.17,2.43,76.8,0.83,0.17,0.0,0.47,46.7,0.0,0.0,0.0,0.0,,https://fbref.com/en/players/ad3389d5/Lukas-Hradecky,ad3389d5,Big 5 combined,
68,Sam Johnstone,ENG,GK,Crystal Palace,eng Premier League,31-036,1993,20,20,1796,20.0,1.35,1.35,3.35,2.05,62.7,0.25,0.3,0.45,0.3,30.0,0.1,0.1,0.0,0.0,0.0,https://fbref.com/en/players/9e5708be/Sam-Johnstone,9e5708be,Big 5 combined,
69,Filip Jørgensen,DEN,GK,Villarreal,es La Liga,22-014,2002,32,32,2880,32.0,1.69,1.69,5.75,4.09,72.8,0.34,0.28,0.38,0.16,15.6,0.13,0.13,0.0,0.0,0.0,https://fbref.com/en/players/0107757e/Filip-Jorgensen,0107757e,Big 5 combined,
70,Thomas Kaminski,BEL,GK,Luton Town,eng Premier League,31-190,1992,35,35,3150,35.0,2.2,2.2,5.83,3.74,63.7,0.17,0.2,0.63,0.06,5.7,0.09,0.09,0.0,0.0,0.0,https://fbref.com/en/players/1caa93a5/Thomas-Kaminski,1caa93a5,Big 5 combined,
71,Loris Karius,GER,GK,Newcastle Utd,eng Premier League,30-313,1993,1,1,90,1.0,4.0,4.0,7.0,4.0,42.9,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,https://fbref.com/en/players/32e7ce92/Loris-Karius,32e7ce92,Big 5 combined,
72,Caoimhín Kelleher,IRL,GK,Liverpool,eng Premier League,25-159,1998,10,10,900,10.0,1.1,1.1,3.8,2.8,71.1,0.8,0.2,0.0,0.2,20.0,0.0,0.0,0.0,0.0,,https://fbref.com/en/players/62d7ef38/Caoimhin-Kelleher,62d7ef38,Big 5 combined,
73,Gregor Kobel,SUI,GK,Dortmund,de Bundesliga,26-146,1997,25,25,2185,24.3,1.36,1.36,4.73,3.37,75.7,0.49,0.33,0.21,0.25,24.0,0.25,0.21,0.04,0.0,16.7,https://fbref.com/en/players/cd59b9df/Gregor-Kobel,cd59b9df,Big 5 combined,
74,Philipp Köhn,SUI,GK,Monaco,fr Ligue 1,26-028,1998,22,22,1980,22.0,1.45,1.45,4.41,2.95,72.2,0.5,0.23,0.27,0.23,22.7,0.27,0.23,0.05,0.0,16.7,https://fbref.com/en/players/ff74841d/Philipp-Kohn,ff74841d,Big 5 combined,
75,Matej Kovar,CZE,GK,Leverkusen,de Bundesliga,23-349,2000,1,1,90,1.0,0.0,0.0,3.0,3.0,100.0,0.0,1.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,,https://fbref.com/en/players/bc67a0e1/Matej-Kovar,bc67a0e1,Big 5 combined,
76,Alban Lafont,FRA,GK,Nantes,fr Ligue 1,25-098,1999,25,25,2226,24.7,1.5,1.5,4.33,2.83,72.0,0.28,0.12,0.61,0.24,24.0,0.28,0.28,0.0,0.0,0.0,https://fbref.com/en/players/4e7db402/Alban-Lafont,4e7db402,Big 5 combined,
77,Nicola Leali,ITA,GK,Genoa,it Serie A,31-073,1993,2,1,91,1.0,2.0,1.98,8.0,6.0,75.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,https://fbref.com/en/players/5f9970a0/Nicola-Leali,5f9970a0,Big 5 combined,
78,Benjamin Lecomte,FRA,GK,Montpellier,fr Ligue 1,33-004,1991,30,30,2700,30.0,1.23,1.23,4.57,3.4,75.9,0.3,0.37,0.33,0.33,33.3,0.17,0.13,0.03,0.0,20.0,https://fbref.com/en/players/2fa2a875/Benjamin-Lecomte,2fa2a875,Big 5 combined,
79,Jeremías Ledesma,ARG,GK,Cádiz,es La Liga,31-077,1993,30,30,2688,29.9,1.47,1.47,4.48,3.01,68.7,0.13,0.37,0.5,0.2,20.0,0.07,0.07,0.0,0.0,0.0,https://fbref.com/en/players/6c4776b1/Jeremias-Ledesma,6c4776b1,Big 5 combined,
80,Bernd Leno,GER,GK,Fulham,eng Premier League,32-057,1992,35,35,3150,35.0,1.57,1.57,4.94,3.49,71.7,0.34,0.2,0.46,0.26,25.7,0.17,0.17,0.0,0.0,0.0,https://fbref.com/en/players/2628fd2b/Bernd-Leno,2628fd2b,Big 5 combined,
81,Anthony Lopes,POR,GK,Lyon,fr Ligue 1,33-212,1990,28,28,2520,28.0,1.61,1.61,5.04,3.43,70.9,0.46,0.14,0.39,0.29,28.6,0.18,0.14,0.04,0.0,20.0,https://fbref.com/en/players/f00de885/Anthony-Lopes,f00de885,Big 5 combined,
82,Pau López,ESP,GK,Marseille,fr Ligue 1,29-139,1994,30,30,2669,29.7,1.21,1.21,3.8,2.59,69.9,0.37,0.37,0.27,0.24,23.3,0.07,0.07,0.0,0.0,0.0,https://fbref.com/en/players/20b9f052/Pau-Lopez,20b9f052,Big 5 combined,
83,Andriy Lunin,UKR,GK,Real Madrid,es La Liga,25-079,1999,20,20,1800,20.0,0.65,0.65,2.9,2.25,79.3,0.8,0.2,0.0,0.5,50.0,0.05,0.05,0.0,0.0,0.0,https://fbref.com/en/players/3061e1ec/Andriy-Lunin,3061e1ec,Big 5 combined,
84,Andreas Luthe,GER,GK,Bochum,de Bundesliga,37-051,1987,1,1,90,1.0,4.0,4.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,https://fbref.com/en/players/7fe12375/Andreas-Luthe,7fe12375,Big 5 combined,
85,Mike Maignan,FRA,GK,Milan,it Serie A,28-302,1995,29,29,2609,29.0,1.17,1.17,4.14,2.97,77.5,0.66,0.17,0.17,0.34,34.5,0.24,0.24,0.0,0.0,0.0,https://fbref.com/en/players/fcb38f57/Mike-Maignan,fcb38f57,Big 5 combined,
86,Radosław Majecki,POL,GK,Monaco,fr Ligue 1,24-166,1999,9,9,810,9.0,1.0,1.0,5.33,4.44,81.3,0.67,0.22,0.11,0.56,55.6,0.0,0.0,0.0,0.0,,https://fbref.com/en/players/20de219a/Radoslaw-Majecki,20de219a,Big 5 combined,
87,Giorgi Mamardashvili,GEO,GK,Valencia,es La Liga,23-214,2000,32,32,2880,32.0,1.06,1.06,4.0,2.88,75.0,0.41,0.25,0.34,0.38,37.5,0.16,0.06,0.09,0.0,60.0,https://fbref.com/en/players/d4b73232/Giorgi-Mamardashvili,d4b73232,Big 5 combined,
88,Steve Mandanda,FRA,GK,Rennes,fr Ligue 1,39-033,1985,31,31,2790,31.0,1.32,1.32,4.39,3.16,71.3,0.35,0.29,0.35,0.23,22.6,0.06,0.06,0.0,0.0,0.0,https://fbref.com/en/players/1d2d5cc8/Steve-Mandanda,1d2d5cc8,Big 5 combined,
89,Christos Mandas,GRE,GK,Lazio,it Serie A,22-226,2001,7,6,541,6.0,0.67,0.67,3.17,2.5,78.9,0.83,0.0,0.17,0.5,50.0,0.0,0.0,0.0,0.0,,https://fbref.com/en/players/f794e9ab/Christos-Mandas,f794e9ab,Big 5 combined,
